Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv_transpose2d,,82.14799154,91.23044397,93.07399577,94.31712474,97.05708245,98.03805497,98.35940803,98.48625793,98.53699789,98.55391121,98.57928118,100,,,50.84143763,61.13319239,63.97463002,66.10570825,66.52854123,68.4820296,69.16701903,72.18604651,72.71035941,73.66596195,74.86680761,75.00211416,,,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019
cosine_similarity,,99.91811333,99.91811333,99.950868,99.96724533,99.98362267,99.98362267,99.98362267,100,100,100,100,100,,,90.35375041,92.20438913,94.71012119,94.79200786,94.97215853,95.41434654,95.51261055,95.54536521,95.56174255,95.57811988,95.64362922,95.66000655,,,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182
cross_entropy,,83.81253594,86.88901668,91.41268929,92.75445658,93.76078206,95.06421315,95.37090282,95.65842438,97.02894384,98.00651716,99.71247844,100,,,35.68142611,38.23078398,38.59497796,43.4924286,43.66494154,43.69369369,43.69369369,43.7320299,43.76078206,46.23346751,46.23346751,46.46348476,,,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296
dropout,,99.77163157,99.82238011,99.97462573,100,100,100,100,100,100,100,100,100,,,76.60492261,79.21847247,80.51256026,81.02004567,81.22303984,82.23801066,82.33950774,82.89774169,82.89774169,83.02461304,83.07536158,83.07536158,,,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227
dropout3d,,99.80559876,99.90279938,99.94167963,99.96111975,100,100,100,100,100,100,100,100,,,71.90902022,73.44479005,74.59175739,75.17496112,75.25272162,75.27216174,75.42768274,76.01088647,76.06920684,76.08864697,76.20528771,76.20528771,,,57.44556765,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313
embedding,,61.49369544,62.46362755,62.85160039,63.30423537,63.30423537,63.41739412,63.41739412,63.41739412,63.85386356,64.33882962,64.33882962,64.33882962,,,87.13223408,88.87811187,89.36307792,91.12512124,92.17588102,94.24506951,94.29356612,96.5890721,96.60523763,98.81991594,99.17555771,100,,,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243
gelu,,100,100,100,100,100,100,100,100,100,100,100,100,,,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,,,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765
hardshrink,,100,100,100,100,100,100,100,100,100,100,100,100,,,56.90607735,56.90607735,56.90607735,56.90607735,56.90607735,56.90607735,56.90607735,56.90607735,56.90607735,56.90607735,56.90607735,56.90607735,,,39.22651934,39.22651934,39.22651934,39.22651934,39.22651934,39.22651934,39.22651934,39.22651934,39.22651934,39.22651934,39.22651934,39.22651934
hardtanh,,99.97710098,100,100,100,100,100,100,100,100,100,100,100,,,51.77467369,56.1254866,56.67506297,56.94985116,57.24753836,57.33913442,57.36203343,57.45362949,57.45362949,57.56812457,57.59102359,57.63682162,,,30.66178154,30.66178154,30.66178154,30.66178154,30.66178154,30.66178154,30.66178154,30.66178154,30.66178154,30.66178154,30.66178154,30.66178154
hinge_embedding_loss,,99.8579362,99.89668087,99.92251065,99.94834044,99.96125533,99.96125533,99.97417022,99.97417022,99.98708511,100,100,100,,,83.00400362,84.2954927,84.51504585,84.61836497,84.61836497,85.04455637,85.09621594,85.1478755,85.1478755,85.32868397,85.32868397,85.32868397,,,69.04300659,69.04300659,69.04300659,69.04300659,69.04300659,69.04300659,69.04300659,69.04300659,69.04300659,69.04300659,69.04300659,69.04300659
huber_loss,,98.79471972,99.00516549,99.08169122,99.11995408,99.11995408,99.11995408,99.11995408,99.11995408,99.11995408,99.21561125,99.21561125,99.31126841,,,87.58370002,91.6969581,93.39965563,94.35622728,97.87641094,97.87641094,99.08169122,99.11995408,99.80868567,99.8278171,99.84694854,100,,,59.21178496,59.21178496,59.21178496,59.21178496,59.21178496,59.21178496,59.21178496,59.21178496,59.21178496,59.21178496,59.21178496,59.21178496
instance_norm,,73.94017899,75.70654734,76.96655676,77.29627885,77.4611399,77.59067358,77.75553462,77.86151672,77.86151672,77.92039567,83.5492228,83.61987753,,,79.60433349,82.19500707,88.0357984,89.22515309,90.94441828,93.33490344,93.64107395,94.25341498,95.25435704,97.38577485,99.67027791,100,,,41.62741404,41.62741404,41.62741404,41.62741404,41.62741404,41.62741404,41.62741404,41.62741404,41.62741404,41.62741404,41.62741404,41.62741404
interpolate,,62.36327572,74.44035137,82.75998867,86.85179938,90.44488524,92.81382828,93.93029187,94.88807027,96.80929442,97.89175404,98.94020969,100,,,13.86795126,14.19665628,14.48569,14.54236328,14.71805044,14.72938509,14.80872768,14.92207424,14.97874752,14.97874752,14.97874752,15.11476339,,,19.82431284,19.82431284,19.82431284,19.82431284,19.82431284,19.82431284,19.82431284,19.82431284,19.82431284,19.82431284,19.82431284,19.82431284
kl_div,,99.95962043,99.97981022,99.97981022,99.97981022,99.97981022,100,100,100,100,100,100,100,,,84.47405613,86.55360388,87.30062588,89.33979406,91.4395316,91.80294771,92.08560468,94.22572178,94.22572178,94.28629114,94.38724006,94.97274379,,,61.69997981,61.69997981,61.69997981,61.69997981,61.69997981,61.69997981,61.69997981,61.69997981,61.69997981,61.69997981,61.69997981,61.69997981
layer_norm,,26.90935046,47.59100642,68.93290507,82.42326909,91.32762313,98.69735903,99.78586724,99.9821556,100,100,100,100,,,32.90506781,32.90506781,32.90506781,32.90506781,32.92291221,32.92291221,32.92291221,32.92291221,32.92291221,32.92291221,32.92291221,32.92291221,,,30.710207,30.710207,30.710207,30.710207,30.710207,30.710207,30.710207,30.710207,30.710207,30.710207,30.710207,30.710207
local_response_norm,,99.96287129,99.96287129,99.97524752,99.97524752,99.97524752,99.97524752,99.97524752,99.98762376,100,100,100,100,,,81.94306931,85.74257426,88.82425743,90.28465347,96.11386139,96.76980198,97.46287129,97.51237624,97.74752475,97.87128713,98.05693069,98.13118812,,,66.48514851,66.48514851,66.48514851,66.48514851,66.48514851,66.48514851,66.48514851,66.48514851,66.48514851,66.48514851,66.48514851,66.48514851
log_softmax,,99.83935743,99.94645248,100,100,100,100,100,100,100,100,100,100,,,29.85274431,32.58366801,33.94912985,33.94912985,33.94912985,33.94912985,35.3145917,35.3145917,35.3145917,35.3145917,35.3145917,35.3145917,,,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858
logsigmoid,,96.2962963,96.2962963,96.2962963,96.2962963,96.2962963,96.2962963,96.2962963,96.2962963,96.2962963,96.2962963,96.2962963,96.2962963,,,100,100,100,100,100,100,100,100,100,100,100,100,,,95.55555556,95.55555556,95.55555556,95.55555556,95.55555556,95.55555556,95.55555556,95.55555556,95.55555556,95.55555556,95.55555556,95.55555556
lp_pool1d,,99.41024696,99.90785109,99.90785109,99.90785109,100,100,100,100,100,100,100,100,,,98.21231109,98.98636196,99.09694066,99.63140435,99.64983413,99.64983413,99.6866937,99.6866937,99.6866937,99.70512348,99.70512348,99.70512348,,,73.7375599,73.7375599,73.7375599,73.7375599,73.7375599,73.7375599,73.7375599,73.7375599,73.7375599,73.7375599,73.7375599,73.7375599
lp_pool2d,,99.95829858,100,100,100,100,100,100,100,100,100,100,100,,,89.36613845,92.5145955,93.28607173,93.91159299,93.97414512,94.03669725,94.20350292,94.53711426,94.97497915,95.20433695,95.47539616,95.49624687,,,70.558799,70.558799,70.558799,70.558799,70.558799,70.558799,70.558799,70.558799,70.558799,70.558799,70.558799,70.558799
margin_ranking_loss,,99.40309644,99.57097556,99.57097556,99.72020145,99.72020145,99.75750793,99.92538705,99.92538705,99.92538705,99.92538705,100,100,,,77.93322141,79.22029472,80.3394889,80.69390039,81.32811043,81.47733632,81.55194926,81.66386868,81.99962694,82.27942548,82.27942548,82.27942548,,,63.92464093,63.92464093,63.92464093,63.92464093,63.92464093,63.92464093,63.92464093,63.92464093,63.92464093,63.92464093,63.92464093,63.92464093
max_pool1d,,96.41169263,98.44214948,100,100,100,100,100,100,100,100,100,100,,,55.03238229,55.04988622,55.04988622,55.04988622,55.04988622,55.04988622,55.04988622,55.04988622,55.04988622,55.04988622,55.04988622,55.04988622,,,29.05653772,29.05653772,29.05653772,29.05653772,29.05653772,29.05653772,29.05653772,29.05653772,29.05653772,29.05653772,29.05653772,29.05653772
max_pool2d,,96.13075384,97.8207694,98.75472537,98.75472537,99.59973316,99.6219702,99.6219702,100,100,100,100,100,,,25.59484101,27.70736046,27.92973093,27.92973093,27.99644207,27.99644207,28.04091617,28.04091617,28.04091617,28.04091617,28.04091617,28.04091617,,,27.55170113,27.55170113,27.55170113,27.55170113,27.55170113,27.55170113,27.55170113,27.55170113,27.55170113,27.55170113,27.55170113,27.55170113
max_unpool3d,,95.21812081,98.5738255,98.82550336,98.82550336,98.82550336,98.82550336,100,100,100,100,100,100,,,88.50671141,90.10067114,91.3590604,91.3590604,92.7852349,92.7852349,92.7852349,92.7852349,92.7852349,92.86912752,92.86912752,92.86912752,,,75.75503356,75.75503356,75.75503356,75.75503356,75.75503356,75.75503356,75.75503356,75.75503356,75.75503356,75.75503356,75.75503356,75.75503356
mish,,100,100,100,100,100,100,100,100,100,100,100,100,,,57.37704918,57.37704918,57.37704918,57.37704918,57.37704918,57.37704918,57.37704918,57.37704918,57.37704918,57.37704918,57.37704918,57.37704918,,,34.31693989,34.31693989,34.31693989,34.31693989,34.31693989,34.31693989,34.31693989,34.31693989,34.31693989,34.31693989,34.31693989,34.31693989
multilabel_soft_margin_loss,,99.49600278,99.60027807,99.68717414,99.68717414,99.70455335,99.8783455,99.98262079,99.98262079,100,100,100,100,,,85.9402155,86.58324644,87.12200209,87.71289538,87.81717066,87.92144595,87.92144595,87.92144595,87.95620438,88.02572124,88.07785888,88.14737574,,,65.64129301,65.64129301,65.64129301,65.64129301,65.64129301,65.64129301,65.64129301,65.64129301,65.64129301,65.64129301,65.64129301,65.64129301
nll_loss,,57.11125158,65.28128951,73.482933,79.51959545,87.89506953,91.54551201,93.99494311,96.15992415,97.36093552,97.40834387,98.71997472,100,,,65.10745891,70.67003793,74.03603034,75.80594185,78.50821745,82.22187105,84.0391909,85.3034134,86.29898862,86.86788875,87.45259166,87.48419722,,,23.24589128,23.24589128,23.24589128,23.24589128,23.24589128,23.24589128,23.24589128,23.24589128,23.24589128,23.24589128,23.24589128,23.24589128
pad,,97.61351637,98.26821542,99.22914467,99.34530095,99.6092925,99.66209081,99.89440338,99.92608237,99.98944034,99.98944034,99.98944034,100,,,50.03167899,53.74868004,55.98732841,57.11721225,58.87011616,59.94720169,60.44350581,60.87645195,62.39704329,62.59767687,62.74551214,62.99894403,,,25.27983105,25.27983105,25.27983105,25.27983105,25.27983105,25.27983105,25.27983105,25.27983105,25.27983105,25.27983105,25.27983105,25.27983105
pairwise_distance,,99.95810056,99.95810056,99.97206704,99.98603352,99.98603352,99.98603352,99.98603352,99.98603352,99.98603352,99.98603352,99.98603352,100,,,58.43575419,59.87430168,60.7122905,61.1452514,61.25698324,61.73184358,61.9273743,62.34636872,63.17039106,63.28212291,63.60335196,63.70111732,,,46.67597765,46.67597765,46.67597765,46.67597765,46.67597765,46.67597765,46.67597765,46.67597765,46.67597765,46.67597765,46.67597765,46.67597765
pixel_unshuffle,,100,100,100,100,100,100,100,100,100,100,100,100,,,38.26589595,38.41040462,38.43930636,38.55491329,38.67052023,38.67052023,38.67052023,38.67052023,38.67052023,38.67052023,38.67052023,38.67052023,,,22.60115607,22.60115607,22.60115607,22.60115607,22.60115607,22.60115607,22.60115607,22.60115607,22.60115607,22.60115607,22.60115607,22.60115607
poisson_nll_loss,,99.52550415,99.62930012,99.79240807,99.83689205,99.83689205,99.95551601,99.95551601,100,100,100,100,100,,,81.85053381,82.41399763,83.19988138,83.28884935,83.36298932,83.37781732,83.39264531,83.62989324,83.67437722,83.67437722,83.70403321,84.01542112,,,44.95848161,44.95848161,44.95848161,44.95848161,44.95848161,44.95848161,44.95848161,44.95848161,44.95848161,44.95848161,44.95848161,44.95848161
prelu,,100,100,100,100,100,100,100,100,100,100,100,100,,,39.76047904,39.88023952,39.91017964,39.91017964,40.02994012,40.02994012,40.02994012,40.05988024,40.05988024,40.05988024,40.05988024,40.05988024,,,37.06586826,37.06586826,37.06586826,37.06586826,37.06586826,37.06586826,37.06586826,37.06586826,37.06586826,37.06586826,37.06586826,37.06586826
relu,,94.74770642,97.63761468,99.03669725,100,100,100,100,100,100,100,100,100,,,22.56880734,24.90825688,26.37614679,28.00458716,29.28899083,29.67889908,29.67889908,30.04587156,30.04587156,30.04587156,30.04587156,30.04587156,,,12.75229358,12.75229358,12.75229358,12.75229358,12.75229358,12.75229358,12.75229358,12.75229358,12.75229358,12.75229358,12.75229358,12.75229358
relu6,,100,100,100,100,100,100,100,100,100,100,100,100,,,54.98721228,57.21925134,57.56800744,58.07951639,58.66077656,58.66077656,58.68402697,58.70727738,58.70727738,58.73052778,58.75377819,58.7770286,,,38.59567542,38.59567542,38.59567542,38.59567542,38.59567542,38.59567542,38.59567542,38.59567542,38.59567542,38.59567542,38.59567542,38.59567542
selu,,100,100,100,100,100,100,100,100,100,100,100,100,,,62.31155779,62.31155779,62.31155779,62.31155779,62.31155779,62.31155779,62.31155779,62.31155779,62.31155779,62.31155779,62.31155779,62.31155779,,,36.08040201,36.08040201,36.08040201,36.08040201,36.08040201,36.08040201,36.08040201,36.08040201,36.08040201,36.08040201,36.08040201,36.08040201
silu,,99.91181658,100,100,100,100,100,100,100,100,100,100,100,,,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,,,29.89417989,29.89417989,29.89417989,29.89417989,29.89417989,29.89417989,29.89417989,29.89417989,29.89417989,29.89417989,29.89417989,29.89417989
smooth_l1_loss,,99.72103403,99.77682723,99.79542496,99.79542496,99.79542496,99.79542496,99.79542496,99.88841361,99.88841361,99.88841361,99.90701134,100,,,68.68142087,68.7000186,68.7000186,68.81160498,69.74149154,69.87167566,70.78296448,70.80156221,70.80156221,88.09745211,88.09745211,88.09745211,,,56.77887298,56.77887298,56.77887298,56.77887298,56.77887298,56.77887298,56.77887298,56.77887298,56.77887298,56.77887298,56.77887298,56.77887298
soft_margin_loss,,98.66534849,98.73125721,98.73125721,98.9784149,98.9784149,99.22557258,99.47273027,99.47273027,99.47273027,99.47273027,99.75284231,100,,,85.00576701,85.20349316,85.5659911,85.69780854,86.06030648,86.14269237,86.17564673,86.17564673,86.19212391,86.30746416,86.30746416,86.30746416,,,56.56615587,56.56615587,56.56615587,56.56615587,56.56615587,56.56615587,56.56615587,56.56615587,56.56615587,56.56615587,56.56615587,56.56615587
softmax,,99.93894994,100,100,100,100,100,100,100,100,100,100,100,,,19.87179487,19.99389499,19.99389499,21.55067155,21.55067155,21.55067155,21.55067155,23.10744811,23.10744811,23.10744811,23.10744811,23.10744811,,,24.38949939,24.38949939,24.38949939,24.38949939,24.38949939,24.38949939,24.38949939,24.38949939,24.38949939,24.38949939,24.38949939,24.38949939
softplus,,100,100,100,100,100,100,100,100,100,100,100,100,,,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,56.66666667,,,34.33333333,34.33333333,34.33333333,34.33333333,34.33333333,34.33333333,34.33333333,34.33333333,34.33333333,34.33333333,34.33333333,34.33333333
tanhshrink,,100,100,100,100,100,100,100,100,100,100,100,100,,,67.99560077,68.05059115,68.05059115,68.05059115,68.05059115,68.05059115,68.05059115,68.05059115,68.05059115,68.05059115,68.05059115,68.05059115,,,17.40445422,17.40445422,17.40445422,17.40445422,17.40445422,17.40445422,17.40445422,17.40445422,17.40445422,17.40445422,17.40445422,17.40445422
threshold,,99.91762768,99.95881384,99.95881384,100,100,100,100,100,100,100,100,100,,,45.18121911,45.30477759,45.30477759,45.30477759,45.30477759,45.30477759,45.30477759,45.30477759,45.30477759,45.30477759,45.30477759,45.30477759,,,14.49752883,14.49752883,14.49752883,14.49752883,14.49752883,14.49752883,14.49752883,14.49752883,14.49752883,14.49752883,14.49752883,14.49752883
triplet_margin_loss,,99.21768285,99.61505029,99.72680988,99.73922762,99.83856948,99.90065814,99.90065814,99.9254936,99.9254936,99.9254936,99.9254936,100,,,62.26251087,63.52911958,64.27418353,64.65913324,64.82056377,65.39177946,65.76431144,65.8264001,66.37278033,66.3976158,66.45970446,66.48453992,,,49.47224637,49.47224637,49.47224637,49.47224637,49.47224637,49.47224637,49.47224637,49.47224637,49.47224637,49.47224637,49.47224637,49.47224637
triplet_margin_with_distance_loss,,99.68449519,99.69951923,99.8046875,99.89483173,99.96995192,99.96995192,99.96995192,99.98497596,99.98497596,99.98497596,100,100,,,72.94170673,74.23377404,74.62439904,75.55588942,75.94651442,76.51742788,76.71274038,77.26862981,77.80949519,77.85456731,77.88461538,77.89963942,,,58.99939904,58.99939904,58.99939904,58.99939904,58.99939904,58.99939904,58.99939904,58.99939904,58.99939904,58.99939904,58.99939904,58.99939904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upper quartile,,99.95829858,100,100,100,100,100,100,100,100,100,100,100,,,81.85053381,82.41399763,85.5659911,85.69780854,86.06030648,86.14269237,86.17564673,86.17564673,86.29898862,88.02572124,88.07785888,88.09745211,,,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552
median,,99.72103403,99.82238011,99.92251065,99.94834044,99.97389715,99.97524752,99.98603352,100,100,100,100,100,,,60.79352649,62.31155779,63.97463002,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,64.37389771,,,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394
lower quartile,,95.21812081,97.63761468,98.73125721,98.75472537,98.82550336,98.82550336,99.6219702,99.76560211,99.76560211,99.76560211,99.9254936,100,,,39.2338177,39.88023952,39.91017964,43.4924286,43.66494154,43.69369369,43.69369369,43.7320299,43.76078206,45.30477759,45.30477759,45.30477759,,,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858,25.32797858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,